"filename", "language", "Ignore", "JSON with Comments", "MS SQL", "JavaScript", "JSON", "Markdown", "HTML", "YAML", "JavaScript JSX", "Docker", "CSV", "CSS", "Properties", "XML", "comment", "blank", "total"
"c:\Ministerra\backend\modules\user.js", "JavaScript", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 268
"c:\Ministerra\backend\monitoring\alertmanager\alertmanager.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Ministerra\backend\monitoring\blackbox\blackbox.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\backend-red.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\cluster.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\endpoints.json", "JSON", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\nodejs-runtime.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\overview.json", "JSON", 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 356
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\socketio.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards\dashboards.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Ministerra\backend\monitoring\grafana\provisioning\datasources\datasources.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Ministerra\backend\monitoring\loki\loki-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Ministerra\backend\monitoring\otel-collector\otel-collector-config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Ministerra\backend\monitoring\prometheus\alerts\basic.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Ministerra\backend\monitoring\prometheus\alerts\slo-burn.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Ministerra\backend\monitoring\prometheus\prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 12, 65
"c:\Ministerra\backend\monitoring\promtail\promtail-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Ministerra\backend\monitoring\tempo\tempo-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Ministerra\backend\nodemon.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Ministerra\backend\otel.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 54
"c:\Ministerra\backend\package-lock.json", "JSON", 0, 0, 0, 0, 9941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9942
"c:\Ministerra\backend\package.json", "JSON", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Ministerra\backend\router.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Ministerra\backend\systems\handlers\cacher.js", "JavaScript", 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 38, 288
"c:\Ministerra\backend\systems\handlers\catcher.js", "JavaScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 155
"c:\Ministerra\backend\systems\handlers\circuitBreaker.js", "JavaScript", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39, 247
"c:\Ministerra\backend\systems\handlers\emitter.js", "JavaScript", 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 40, 305
"c:\Ministerra\backend\systems\handlers\loggers.js", "JavaScript", 0, 0, 0, 1001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 1141
"c:\Ministerra\backend\systems\handlers\querer.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 52
"c:\Ministerra\backend\systems\handlers\streamUtils.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 110
"c:\Ministerra\backend\systems\handlers\streamer.js", "JavaScript", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 185
"c:\Ministerra\backend\systems\handlers\writer.js", "JavaScript", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48, 351
"c:\Ministerra\backend\systems\kafka\manager.js", "JavaScript", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 35, 224
"c:\Ministerra\backend\systems\mysql\mysql.js", "JavaScript", 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50, 529
"c:\Ministerra\backend\systems\redis\master.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 3, 8
"c:\Ministerra\backend\systems\redis\redis.js", "JavaScript", 0, 0, 0, 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 417
"c:\Ministerra\backend\systems\redis\sentinel1.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 8, 25
"c:\Ministerra\backend\systems\redis\sentinel2.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 6, 24
"c:\Ministerra\backend\systems\redis\sentinel3.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"c:\Ministerra\backend\systems\redis\slave.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 4, 15
"c:\Ministerra\backend\systems\socket\chatHandlers.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28, 213
"c:\Ministerra\backend\systems\socket\socket.js", "JavaScript", 0, 0, 0, 629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 88, 733
"c:\Ministerra\backend\systems\systems.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Ministerra\backend\systems\worker\worker.js", "JavaScript", 0, 0, 0, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 122, 795
"c:\Ministerra\backend\tasks\chatMessages.js", "JavaScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 120
"c:\Ministerra\backend\tasks\comments.js", "JavaScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 114
"c:\Ministerra\backend\tasks\dailyRecalc.js", "JavaScript", 0, 0, 0, 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 63, 523
"c:\Ministerra\backend\tasks\flagChanges.js", "JavaScript", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 193
"c:\Ministerra\backend\tasks\hourlyRecalc.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 38
"c:\Ministerra\backend\tasks\invites.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 203
"c:\Ministerra\backend\tasks\lastSeenMess.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 117
"c:\Ministerra\backend\tasks\userInteractions.js", "JavaScript", 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 44, 440
"c:\Ministerra\backend\utilities\contentFilters.js", "JavaScript", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 192
"c:\Ministerra\backend\utilities\contentHelpers.js", "JavaScript", 0, 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 52, 420
"c:\Ministerra\backend\utilities\helpers.js", "JavaScript", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 229
"c:\Ministerra\backend\utilities\sanitize.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 205
"c:\Ministerra\backend\variables.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 36
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-11-22T14-43-52-092Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-09T04-24-45-254Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-11T23-33-03-799Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-12T01-04-20-051Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-12T01-58-37-879Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-13T21-08-37-381Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-13T21-12-42-059Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-20T18-56-33-720Z.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\database_migration_idempotency.sql", "MS SQL", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 18, 114
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\details.md", "Markdown", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 89
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 49
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\diff.md", "Markdown", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 76
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\results.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\details.md", "Markdown", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 60
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\diff.md", "Markdown", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 79
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\results.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\details.md", "Markdown", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 133
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 120
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\diff.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 110
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\results.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\details.md", "Markdown", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 64
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\diff.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 112
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\results.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\details.md", "Markdown", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 112
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\results.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Ministerra\frontend\.eslintrc.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Ministerra\frontend\.github\workflows\development.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Ministerra\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 7, 32
"c:\Ministerra\frontend\cssHelpers\README.md", "Markdown", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 96
"c:\Ministerra\frontend\cssHelpers\analyze_classes.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 106
"c:\Ministerra\frontend\cssHelpers\clean_css.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 29, 174
"c:\Ministerra\frontend\cssHelpers\post_process_css.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 59
"c:\Ministerra\frontend\helpers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 763, 0, 0, 0, 0, 0, 86, 79, 928
"c:\Ministerra\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Ministerra\frontend\nodemon.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Ministerra\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 6165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6166
"c:\Ministerra\frontend\package.json", "JSON", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Ministerra\frontend\public\icons\types\SVG\0.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 1, 155
"c:\Ministerra\frontend\public\icons\types\SVG\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 91
"c:\Ministerra\frontend\public\icons\types\SVG\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 1, 122
"c:\Ministerra\frontend\public\icons\types\SVG\11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 1, 49
"c:\Ministerra\frontend\public\icons\types\SVG\12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Ministerra\frontend\public\icons\types\SVG\13.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 1, 85
"c:\Ministerra\frontend\public\icons\types\SVG\14.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 1, 133
