"filename", "language", "Markdown", "JSON", "JSON with Comments", "MS SQL", "Ignore", "JavaScript", "YAML", "Docker", "JavaScript JSX", "CSV", "HTML", "CSS", "Properties", "XML", "comment", "blank", "total"
"c:\Ministerra\backend\cluster\worker.js", "JavaScript", 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 48, 33, 322
"c:\Ministerra\backend\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 689, 0, 0, 0, 0, 0, 0, 0, 43, 38, 770
"c:\Ministerra\backend\docs\logging-overview.md", "Markdown", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 159
"c:\Ministerra\backend\docs\mysql-read-replica.md", "Markdown", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 59
"c:\Ministerra\backend\dump.sql", "MS SQL", 0, 0, 0, 814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 124, 1124
"c:\Ministerra\backend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 45
"c:\Ministerra\backend\migrations\001_user_devices.sql", "MS SQL", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"c:\Ministerra\backend\migrations\002_chat_indices.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Ministerra\backend\migrations\002_device_key.sql", "MS SQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 13
"c:\Ministerra\backend\migrations\2025-12-06_event_feedback.sql", "MS SQL", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Ministerra\backend\ministerra_dump.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ministerra\backend\modules\alerts.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 30, 20, 149
"c:\Ministerra\backend\modules\chat.js", "JavaScript", 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 82, 43, 422
"c:\Ministerra\backend\modules\chat\chatHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 180
"c:\Ministerra\backend\modules\chat\messageHandlers.js", "JavaScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 104
"c:\Ministerra\backend\modules\chat\quickQueries.js", "JavaScript", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 172
"c:\Ministerra\backend\modules\chat\seenSync.js", "JavaScript", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 45, 31, 199
"c:\Ministerra\backend\modules\content.js", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 84
"c:\Ministerra\backend\modules\devices.js", "JavaScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 81
"c:\Ministerra\backend\modules\discussion.js", "JavaScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 31, 21, 144
"c:\Ministerra\backend\modules\editor\index.js", "JavaScript", 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 30, 29, 248
"c:\Ministerra\backend\modules\editor\sanitize.js", "JavaScript", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 20, 24, 212
"c:\Ministerra\backend\modules\entrance.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 9
"c:\Ministerra\backend\modules\entrance\accountActions.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 72
"c:\Ministerra\backend\modules\entrance\credentials.js", "JavaScript", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 116
"c:\Ministerra\backend\modules\entrance\index.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 25, 17, 118
"c:\Ministerra\backend\modules\entrance\login.js", "JavaScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 95
"c:\Ministerra\backend\modules\entrance\register.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 109
"c:\Ministerra\backend\modules\entrance\verification.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 56
"c:\Ministerra\backend\modules\event.js", "JavaScript", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 38, 27, 178
"c:\Ministerra\backend\modules\feedback.js", "JavaScript", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 31, 22, 239
"c:\Ministerra\backend\modules\foundation.js", "JavaScript", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 28, 18, 141
"c:\Ministerra\backend\modules\foundation\content.js", "JavaScript", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 28, 28, 189
"c:\Ministerra\backend\modules\foundation\userSync.js", "JavaScript", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 37, 21, 175
"c:\Ministerra\backend\modules\foundation\utils.js", "JavaScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 62
"c:\Ministerra\backend\modules\gallery.js", "JavaScript", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 148
"c:\Ministerra\backend\modules\images.js", "JavaScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 30, 24, 158
"c:\Ministerra\backend\modules\interests.js", "JavaScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 98
"c:\Ministerra\backend\modules\invites.js", "JavaScript", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 143
"c:\Ministerra\backend\modules\jwtokens.js", "JavaScript", 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 82, 45, 352
"c:\Ministerra\backend\modules\locations.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 46
"c:\Ministerra\backend\modules\mailing.js", "JavaScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 66
"c:\Ministerra\backend\modules\rating.js", "JavaScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 99
"c:\Ministerra\backend\modules\report.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 64
"c:\Ministerra\backend\modules\search.js", "JavaScript", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 144
"c:\Ministerra\backend\modules\setup\index.js", "JavaScript", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 179
"c:\Ministerra\backend\modules\setup\sanitize.js", "JavaScript", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 35, 23, 230
"c:\Ministerra\backend\modules\user.js", "JavaScript", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 206
"c:\Ministerra\backend\monitoring\alertmanager\alertmanager.yml", "YAML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Ministerra\backend\monitoring\blackbox\blackbox.yml", "YAML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\backend-red.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\cluster.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\endpoints.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\nodejs-runtime.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\overview.json", "JSON", 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 356
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\socketio.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards\dashboards.yml", "YAML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Ministerra\backend\monitoring\grafana\provisioning\datasources\datasources.yml", "YAML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Ministerra\backend\monitoring\loki\loki-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Ministerra\backend\monitoring\otel-collector\otel-collector-config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Ministerra\backend\monitoring\prometheus\alerts\basic.yml", "YAML", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Ministerra\backend\monitoring\prometheus\alerts\slo-burn.yml", "YAML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Ministerra\backend\monitoring\prometheus\prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 12, 65
"c:\Ministerra\backend\monitoring\promtail\promtail-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Ministerra\backend\monitoring\tempo\tempo-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Ministerra\backend\nodemon.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Ministerra\backend\otel.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 54
"c:\Ministerra\backend\package-lock.json", "JSON", 0, 10140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10141
"c:\Ministerra\backend\package.json", "JSON", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
"c:\Ministerra\backend\router.js", "JavaScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 68
"c:\Ministerra\backend\scripts\log-viewer.js", "JavaScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31, 157
"c:\Ministerra\backend\startup\config.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 66
"c:\Ministerra\backend\startup\metrics.js", "JavaScript", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 38, 19, 218
"c:\Ministerra\backend\startup\middleware.js", "JavaScript", 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 50, 24, 322
"c:\Ministerra\backend\systems\handlers\cacher.js", "JavaScript", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 50, 30, 265
"c:\Ministerra\backend\systems\handlers\catcher.js", "JavaScript", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 182
"c:\Ministerra\backend\systems\handlers\circuitBreaker.js", "JavaScript", 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 67, 48, 362
"c:\Ministerra\backend\systems\handlers\emitter.js", "JavaScript", 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 44, 30, 230
"c:\Ministerra\backend\systems\handlers\loggers.js", "JavaScript", 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 80, 47, 405
"c:\Ministerra\backend\systems\handlers\querer.js", "JavaScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 137
"c:\Ministerra\backend\systems\handlers\streamUtils.js", "JavaScript", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 138
"c:\Ministerra\backend\systems\handlers\streamer.js", "JavaScript", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 39, 28, 239
"c:\Ministerra\backend\systems\handlers\writer.js", "JavaScript", 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 19, 51, 404
"c:\Ministerra\backend\systems\kafka\manager.js", "JavaScript", 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 46, 36, 228
"c:\Ministerra\backend\systems\mysql\mysql.js", "JavaScript", 0, 0, 0, 0, 0, 646, 0, 0, 0, 0, 0, 0, 0, 0, 376, 68, 1090
"c:\Ministerra\backend\systems\redis\master.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 5, 22
"c:\Ministerra\backend\systems\redis\redis.js", "JavaScript", 0, 0, 0, 0, 0, 454, 0, 0, 0, 0, 0, 0, 0, 0, 61, 24, 539
"c:\Ministerra\backend\systems\redis\sentinel1.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 4, 18
"c:\Ministerra\backend\systems\redis\sentinel2.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 4, 18
"c:\Ministerra\backend\systems\redis\sentinel3.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 4, 18
"c:\Ministerra\backend\systems\redis\slave.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 6, 24
"c:\Ministerra\backend\systems\socket\chatHandlers.js", "JavaScript", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 41, 30, 206
"c:\Ministerra\backend\systems\socket\socket.js", "JavaScript", 0, 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 71, 72, 476
"c:\Ministerra\backend\systems\systems.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"c:\Ministerra\backend\systems\worker\worker.js", "JavaScript", 0, 0, 0, 0, 0, 656, 0, 0, 0, 0, 0, 0, 0, 0, 113, 124, 893
"c:\Ministerra\backend\tasks\chatMessages.js", "JavaScript", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 111
"c:\Ministerra\backend\tasks\comments.js", "JavaScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 122
"c:\Ministerra\backend\tasks\dailyRecalc.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"c:\Ministerra\backend\tasks\dailyRecalc\chatCleanup.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 54
"c:\Ministerra\backend\tasks\dailyRecalc\deletionQueries.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 88
"c:\Ministerra\backend\tasks\dailyRecalc\fileCleanup.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Ministerra\backend\tasks\dailyRecalc\finalCleanup.js", "JavaScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 86
"c:\Ministerra\backend\tasks\dailyRecalc\index.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 118
"c:\Ministerra\backend\tasks\dailyRecalc\pastEvents.js", "JavaScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 64
"c:\Ministerra\backend\tasks\dailyRecalc\userCleanup.js", "JavaScript", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 86
"c:\Ministerra\backend\tasks\flagChanges.js", "JavaScript", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 196
"c:\Ministerra\backend\tasks\hourlyRecalc.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 38
"c:\Ministerra\backend\tasks\invites.js", "JavaScript", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 220
"c:\Ministerra\backend\tasks\lastSeenMess.js", "JavaScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 117
"c:\Ministerra\backend\tasks\userInteractions.js", "JavaScript", 0, 0, 0, 0, 0, 396, 0, 0, 0, 0, 0, 0, 0, 0, 42, 44, 482
"c:\Ministerra\backend\utilities\contentFilters.js", "JavaScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 114
"c:\Ministerra\backend\utilities\contentHelpers.js", "JavaScript", 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 46, 34, 335
"c:\Ministerra\backend\utilities\helpers.js", "JavaScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 43
"c:\Ministerra\backend\utilities\helpers\auth.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 59
"c:\Ministerra\backend\utilities\helpers\cache.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 70
"c:\Ministerra\backend\utilities\helpers\device.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 39, 12, 88
"c:\Ministerra\backend\utilities\helpers\index.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 48
"c:\Ministerra\backend\utilities\helpers\location.js", "JavaScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 121
"c:\Ministerra\backend\utilities\helpers\meta.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 47
"c:\Ministerra\backend\utilities\helpers\pure.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32, 7, 71
"c:\Ministerra\backend\utilities\sanitize.js", "JavaScript", 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 222
"c:\Ministerra\backend\variables.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 36
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-11-22T14-43-52-092Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-14T03-18-24-778Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-20T23-41-57-155Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T15-49-34-593Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T17-28-26-453Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T18-43-01-184Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-06-43-880Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-06-59-380Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-29-53-225Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-35-32-661Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-35-43-125Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-48-24-467Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-48-41-450Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-50-45-174Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-52-20-269Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-54-53-748Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-27T19-55-16-780Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-28T09-27-06-176Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-28T09-27-08-661Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-28T09-27-56-740Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatsLastMessage_chatsLastMessage_non-retriable_0_2025-12-14T03-18-24-794Z.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
